country;group;week;zscore
Austria;Total;2022-40;4.28
Austria;Total;2022-41;2.34
Austria;Total;2022-42;2.62
Austria;Total;2022-43;2.97
Austria;Total;2022-44;1.04
Austria;Total;2022-45;0.87
Austria;Total;2022-46;1.37
Austria;Total;2022-47;1.07
Austria;Total;2022-48;2.46
Austria;Total;2022-49;2.88
Austria;Total;2022-50;6.21
Austria;Total;2022-51;7.84
Austria;Total;2022-52;7.74
Austria;Total;2023-01;8.26
Austria;Total;2023-02;5.27
Austria;Total;2023-03;1.8
Austria;Total;2023-04;0.74
Austria;Total;2023-05;0.76
Austria;Total;2023-06;-0.18
Austria;Total;2023-07;0.83
Austria;Total;2023-08;2.49
Austria;Total;2023-09;2.21
Austria;Total;2023-10;2.7
Austria;Total;2023-11;2.36
Austria;Total;2023-12;1.74
Austria;Total;2023-13;0.96
Austria;Total;2023-14;0.93
Austria;Total;2023-15;0.93
Austria;Total;2023-16;2.11
Austria;Total;2023-17;0.95
Austria;Total;2023-18;0.18
Austria;Total;2023-19;0.83
Austria;Total;2023-20;-0.49
Austria;Total;2023-21;-0.07
Austria;Total;2023-22;-0.15
Austria;Total;2023-23;-0.69
Austria;Total;2023-24;-0.04
Austria;Total;2023-25;1.03
Austria;Total;2023-26;-1.3
Austria;Total;2023-27;0.16
Austria;Total;2023-28;0.44
Austria;Total;2023-29;0.57
Austria;Total;2023-30;-0.84
Austria;Total;2023-31;-1.28
Austria;Total;2023-32;0.23
Austria;Total;2023-33;0.59
Austria;Total;2023-34;1
Austria;Total;2023-35;-2.01
Austria;Total;2023-36;-0.45
Austria;Total;2023-37;0.45
Austria;Total;2023-38;-0.96
Austria;Total;2023-39;-1.58
Austria;Total;2023-40;-0.92
Austria;Total;2023-41;-0.45
Austria;Total;2023-42;0.33
Austria;Total;2023-43;1.54
Austria;Total;2023-44;0.86
Austria;Total;2023-45;0.87
Austria;Total;2023-46;1.94
Austria;Total;2023-47;1.58
Austria;Total;2023-48;3.44
Austria;Total;2023-49;1.91
Austria;Total;2023-50;3.16
Austria;Total;2023-51;4.45
Austria;Total;2023-52;2.78
Austria;Total;2024-01;2.54
Austria;Total;2024-02;2.5
Austria;Total;2024-03;2.53
Austria;Total;2024-04;2.3
Austria;Total;2024-05;1.92
Austria;Total;2024-06;3.29
Austria;Total;2024-07;1.63
Austria;Total;2024-08;1.12
Austria;Total;2024-09;0.73
Austria;Total;2024-10;-0.54
Austria;Total;2024-11;-1.13
Austria;Total;2024-12;-1.92
Austria;Total;2024-13;-0.4
Austria;Total;2024-14;-1.23
Austria;Total;2024-15;-0.78
Austria;Total;2024-16;-1.88
Austria;Total;2024-17;-1.04
Austria;Total;2024-18;-0.23
Austria;Total;2024-19;-2.26
Austria;Total;2024-20;-0.52
Austria;Total;2024-21;-0.06
Austria;Total;2024-22;-0.98
Austria;Total;2024-23;-0.11
Austria;Total;2024-24;-1.14
Austria;Total;2024-25;-0.16
Austria;Total;2024-26;-0.12
Austria;Total;2024-27;-1.15
Austria;Total;2024-28;1.79
Austria;Total;2024-29;0.76
Austria;Total;2024-30;0.57
Austria;Total;2024-31;0.42
Austria;Total;2024-32;-1.79
Austria;Total;2024-33;-1.08
Austria;Total;2024-34;-0.91
Austria;Total;2024-35;-0.55
Austria;Total;2024-36;0.35
Austria;Total;2024-37;0.16
Austria;Total;2024-38;-0.32
Austria;Total;2024-39;0.66
Austria;Total;2024-40;1.03
Austria;Total;2024-41;2.38
Austria;Total;2024-42;0.78
Austria;Total;2024-43;-0.2
Austria;Total;2024-44;0.07
Austria;Total;2024-45;-0.83
Austria;Total;2024-46;-0.24
Austria;Total;2024-47;0.12
Austria;Total;2024-48;-1
Austria;Total;2024-49;0.85
Austria;Total;2024-50;-0.32
Belgium;Total;2018-52;1.48
Belgium;Total;2019-01;1.88
Belgium;Total;2019-02;2.24
Belgium;Total;2019-03;1.82
Belgium;Total;2019-04;2.61
Belgium;Total;2019-05;2.62
Belgium;Total;2019-06;4.07
Belgium;Total;2019-07;2.93
Belgium;Total;2019-08;3.06
Belgium;Total;2019-09;3.09
Belgium;Total;2019-10;2.89
Belgium;Total;2019-11;2.37
Belgium;Total;2019-12;0.84
Belgium;Total;2019-13;-0.21
Belgium;Total;2019-14;1.41
Belgium;Total;2019-15;-0.71
Belgium;Total;2019-16;0.84
Belgium;Total;2019-17;0.33
Belgium;Total;2019-18;0.26
Belgium;Total;2019-19;0.41
Belgium;Total;2019-20;0.71
Belgium;Total;2019-21;0.59
Belgium;Total;2019-22;0.03
Belgium;Total;2019-23;0.46
Belgium;Total;2019-24;-0.89
Belgium;Total;2019-25;0.28
Belgium;Total;2019-26;1.06
Belgium;Total;2019-27;0.69
Belgium;Total;2019-28;-1.01
Belgium;Total;2019-29;0.04
Belgium;Total;2019-30;4.82
Belgium;Total;2019-31;0.44
Belgium;Total;2019-32;-1.19
Belgium;Total;2019-33;-1.13
Belgium;Total;2019-34;-0.31
Belgium;Total;2019-35;1.55
Belgium;Total;2019-36;-0.53
Belgium;Total;2019-37;-0.82
Belgium;Total;2019-38;-0.08
Belgium;Total;2019-39;-0.46
Belgium;Total;2019-40;1.14
Belgium;Total;2019-41;-0.14
Belgium;Total;2019-42;-0.08
Belgium;Total;2019-43;1.03
Belgium;Total;2019-44;-0.84
Belgium;Total;2019-45;-0.11
Belgium;Total;2019-46;-0.33
Belgium;Total;2019-47;1.4
Belgium;Total;2019-48;0.61
Belgium;Total;2019-49;0.68
Belgium;Total;2019-50;1.34
Belgium;Total;2019-51;2.37
Belgium;Total;2019-52;0.39
Belgium;Total;2020-01;1.16
Belgium;Total;2020-02;2.79
Belgium;Total;2020-03;1.82
Belgium;Total;2020-04;0.71
Belgium;Total;2020-05;2.29
Belgium;Total;2020-06;0.39
Belgium;Total;2020-07;1.8
Belgium;Total;2020-08;1.67
Belgium;Total;2020-09;1.1
Belgium;Total;2020-10;0.89
Belgium;Total;2020-11;1.45
Belgium;Total;2020-12;4.86
Belgium;Total;2020-13;11.24
Belgium;Total;2020-14;19.15
Belgium;Total;2020-15;21.88
Belgium;Total;2020-16;16.77
Belgium;Total;2020-17;10.76
Belgium;Total;2020-18;4.21
Belgium;Total;2020-19;4.43
Belgium;Total;2020-20;0.82
Belgium;Total;2020-21;1.49
Belgium;Total;2020-22;0.32
Belgium;Total;2020-23;-1.68
Belgium;Total;2020-24;-0.27
Belgium;Total;2020-25;-0.88
Belgium;Total;2020-26;0.88
Belgium;Total;2020-27;-1.55
Belgium;Total;2020-28;-2.51
Belgium;Total;2020-29;-0.33
Belgium;Total;2020-30;-0.7
Belgium;Total;2020-31;0.77
Belgium;Total;2020-32;1.68
Belgium;Total;2020-33;10.75
Belgium;Total;2020-34;3.66
Belgium;Total;2020-35;-0.28
Belgium;Total;2020-36;-0.28
Belgium;Total;2020-37;-0.88
Belgium;Total;2020-38;0.76
Belgium;Total;2020-39;-0.24
Belgium;Total;2020-40;-0.04
Belgium;Total;2020-41;1.09
Belgium;Total;2020-42;2.02
Belgium;Total;2020-43;6.95
Belgium;Total;2020-44;13.32
Belgium;Total;2020-45;16.72
Belgium;Total;2020-46;14.15
Belgium;Total;2020-47;11.49
Belgium;Total;2020-48;8.6
Belgium;Total;2020-49;6.24
Belgium;Total;2020-50;6.84
Belgium;Total;2020-51;6.07
Belgium;Total;2020-52;4.81
Belgium;Total;2020-53;3.01
Belgium;Total;2021-01;3.21
Belgium;Total;2021-02;2.45
